
بيان الموارد,التقديرات الأوّليّة (1),التقديرات الحاليّة (2),الموارد المنجزة (3) ,نسبة الإنجاز (2/3)
موارد العنوان الأول
الجزء الأوّل: المداخيل الجبائيّة الإعتياديّة, 
 الصنف الأوّل: المعاليم على العقارات والأنشطة,619.000,619.000,158.202,"
	25,56 %    "
الصنف الثّاني: مداخيل إشغال الملك العمومي البلدي واستلزام المرافق العمومية فيه,567.150,567.150,533.209,"
	94,02 %    "
 الصنف الثّالث: مداخيل الموجبات والرخص الإدارية ومعاليم مقابل إسداء خدمات,275.000,275.000,31.899,"
	11,60 %    "
 الصنف الرّابع: المداخيل الجبائية الإعتيادية الأخرى ,0,0,0,"
	0,00 %    "
جملة الجزء الأوّل ,"
      1.461.150	","
      1.461.150    ","
    723.310  ","

	  49,50 %     "
الجزء الثاني: المداخيل غير الجبائيّة الإعتياديّة, 
الصنف الخامس: مداخيل الملك الجهوي الإعتياديّة,65.000,65.000,11.887,"
	18,29 %    "
الصنف السّادس: المداخيل المالية الإعتيادية,971.000,971.000,467.399,"
	48,14 %    "
جملة الجزء الثاني ,"
      1.036.000    ","
    1.036.000    ","
    479.286  ","
	  46,26 %	"
جملة موارد العنوان الأول,"
      2.497.150	","
      2.497.150	","
      1.202.596	","
	  48,16 %	"
موارد العنوان الثاني
الجزء الثالث: الموارد الذاتيّة و المخصّصة للتّنمية,
الصنف السابع: منح التجهيز,387.077,387.077,0,"0,00 %    "
الصنف الثامن: مدخرات وموارد مختلفة,1.558.252,1.558.252,1.571.286,"100,84 %    "
جملة الجزء الثالث ,"
      1.945.329    ","
      1.945.329    ","
      1.571.286    ","
	  80,77 %    
    "
الجزء الرّابع: موارد الإقتراض, 
الصنف التّاسع: موارد الإقتراض الداخلي ,69.291,69.291,0,"
	  0,00 %   "
الصنف العاشر: موارد الإقتراض الخارجي,0,0,0,"
	  0,00 %   "
الصنف الحادي عشر: موارد الإقتراض الخارجي الموظفة,0,0,0,"
	0,00 %   "
جملة الجزء الرّابع ,"

	  69.291    ","
      69.291    ","
      0    ","

	  0,00 %     "
الجزء الخامس: الموارد المتأتّبة من الإعتمادات المحالة, 
الصنف الثاني عشر: الموارد المتأتّبة من الإعتمادات المحالة,0,25,25,"
	100,00 %   "
جملة الجزء الخامس,0,25,25,"

	  100,00 %    "
جملة موارد العنوان الثاني,"
      2.014.620    ","
      2.014.645    ","
      1.571.311    ","

	  77,99 %    "
جملة موارد ميزانيّة المجلس البلدي,"
      4.511.770    ","
      4.511.795    ","
      2.773.907    ","

	  61,48 %     "
